@relation 'Dataset-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute avgChurn numeric
@attribute stmtAdded numeric
@attribute CyclomaticComplexity numeric
@attribute CodeSmells numeric
@attribute maxChurn numeric
@attribute IsBuggy {no,yes}

@data
0.005887,0.002067,0.03125,0,0.003408,no
0.006507,0.003373,0,0,0.006507,no
0.011929,0.007073,0.125,0,0.006507,no
0.005422,0.0037,0.03125,0,0.005422,no
0.005422,0.0037,0.03125,0,0.005422,no
0,0,0,0,0,no
0,0,0,0,0,no
0.003408,0.002394,0,0,0.003408,no
0.003408,0.002394,0,0,0.003408,no
0.001859,0.002503,0,0,0.003408,no
0.001162,0.001632,0.03125,0,0.001704,no
0.001749,0.007182,0.3125,0.666667,0.004493,no
0.002375,0.004897,0.03125,0,0.004493,no
0.003369,0.007726,0.03125,0,0.008366,no
0.008572,0.026442,0.375,0.666667,0.013478,no
0.009966,0.014146,0.03125,0,0.013478,no
0.003253,0.002067,0,0,0.003253,no
0.001394,0.002394,0.09375,0.333333,0.003253,no
0.002479,0.001415,0.03125,0,0.001859,no
0.001859,0.001197,0.0625,0,0.001859,no
0.006197,0.008487,0.15625,0.333333,0.011154,no
0.005732,0.007943,0.15625,0.333333,0.011154,no
0.004287,0.008705,0.15625,0.333333,0.011154,yes
0.00062,0.000218,0.03125,0,0.00062,no
0.001549,0.000871,0.0625,0,0.001549,no
0.001549,0.000871,0,0,0.001549,no
0.001084,0.001088,0.125,0.333333,0.00093,yes
0.004338,0.003047,0.09375,0.333333,0.002169,no
0.002169,0.001523,0,0,0.002169,no
0.002169,0.001523,0,0.333333,0.002169,no
0.006816,0.003482,0,0,0.006816,no
0.006816,0.003482,0,0,0.006816,no
0.006816,0.003482,0,0,0.006816,no
0.006971,0.003591,0.0625,0.333333,0.006816,no
0.001549,0.001088,0.09375,0.333333,0.000775,no
0.000775,0.000544,0,0,0.000775,no
0,0,0,0,0,no
0,0,0,0,0,no
0.003292,0.007835,0.3125,0.666667,0.006042,no
0,0,0,0,0,no
0,0,0.03125,0,0,no
0.00031,0.000218,0.0625,0,0.00031,no
0,0,0.03125,0,0,yes
0,0,0.03125,0,0,no
0,0,0,0,0,no
0,0,0.03125,0,0,no
0,0,0,0,0,yes
0,0,0.03125,0,0,yes
0.00031,0.000109,0.03125,0.333333,0.00031,yes
0,0,0,0,0,no
0,0,0.03125,0,0,no
0.00062,0.000218,0.03125,0,0.00062,yes
0.00031,0.000109,0,0,0.00031,no
0.000775,0.000653,0.09375,0,0.00093,yes
0.00062,0.000218,0,0,0.00062,no
0.00093,0.000326,0,0,0.00093,no
0.00062,0.000544,0.125,0,0.00031,yes
0.00031,0.000109,0,0,0.00031,no
0,0,0,0,0,no
0.00093,0.000653,0,0,0.00093,no
0.000852,0.000653,0,0,0.001239,no
0.001239,0.000871,0,0,0.001239,no
0.00093,0.000326,0.125,0.333333,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0.0625,0,0,no
0.000542,0.000544,0.375,0.666667,0.000465,no
