@relation 'Dataset-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute NestingDepth numeric
@attribute CyclomaticComplexity numeric
@attribute CodeSmells numeric
@attribute stmtAdded numeric
@attribute avgChurn numeric
@attribute IsBuggy {no,yes}

@data
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.002394,0.003408,no
0,0,0,0.002394,0.003408,no
0,0,0,0.002503,0.001859,no
0.034483,0.03125,0,0.001632,0.001162,no
0.448276,0.3125,0.666667,0.007182,0.001749,no
0.051724,0.03125,0,0.004897,0.002375,no
0.034483,0.03125,0,0.007726,0.003369,no
0.568966,0.375,0.666667,0.026442,0.008572,no
0.155172,0.09375,0.333333,0.002394,0.001394,no
0.034483,0.03125,0,0.001415,0.002479,no
0.086207,0.0625,0,0.001197,0.001859,no
0.206897,0.15625,0.333333,0.008487,0.006197,no
0.189655,0.15625,0.333333,0.007943,0.005732,no
0.241379,0.15625,0.333333,0.008705,0.004287,yes
0.086207,0.03125,0,0.000218,0.00062,no
0.068966,0.0625,0,0.000871,0.001549,no
0.017241,0,0,0.000871,0.001549,no
0.206897,0.125,0.333333,0.001088,0.001084,yes
0.172414,0.09375,0.333333,0.003047,0.004338,no
0,0,0,0.001523,0.002169,no
0,0,0.333333,0.001523,0.002169,no
0,0,0,0.003482,0.006816,no
0,0,0,0.003482,0.006816,no
0,0,0,0.003482,0.006816,no
0.12069,0.0625,0.333333,0.003591,0.006971,no
0.155172,0.09375,0.333333,0.001088,0.001549,no
0,0,0,0.000544,0.000775,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.051724,0.03125,0,0,0,no
0.034483,0.03125,0,0,0,yes
0.034483,0.03125,0,0,0,no
0.068966,0,0,0,0,no
0.103448,0.03125,0,0,0,no
0.017241,0,0,0,0,yes
0.086207,0.03125,0,0,0,yes
0.034483,0.03125,0.333333,0.000109,0.00031,yes
0,0,0,0,0,no
0.034483,0.03125,0,0,0,no
0.034483,0.03125,0,0.000218,0.00062,yes
0,0,0,0.000109,0.00031,no
0.017241,0.09375,0,0.000653,0.000775,yes
0,0,0,0.000218,0.00062,no
0,0,0,0.000326,0.00093,no
0.017241,0.125,0,0.000544,0.00062,yes
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0.000653,0.00093,no
0,0,0,0.000653,0.000852,no
0,0,0,0.000871,0.001239,no
0.137931,0.125,0.333333,0.000326,0.00093,no
0,0,0,0,0,no
0,0,0,0,0,no
0.086207,0.0625,0,0,0,no
0.431034,0.375,0.666667,0.000544,0.000542,no
0.068966,0.03125,0.333333,0.000653,0.001549,no
0,0,0,0,0,no
0.137931,0.09375,0.333333,0.005332,0.004957,no
0.068966,0.03125,0,0.005114,0.004648,no
0.051724,0.03125,0,0.005005,0.008985,no
0.275862,0.15625,0.333333,0.006855,0.00816,no
0.068966,0.03125,0,0.001088,0.000852,no
0.103448,0.03125,0,0.000109,0.00031,no
0.189655,0.125,0.333333,0,0,yes
0,0,0,0.000109,0.00031,no
0.034483,0.03125,0,0,0,no
0.034483,0.03125,0,0,0,no
0.224138,0.1875,0.333333,0.000435,0.00062,no
0.086207,0.0625,0.333333,0.000109,0.00031,no
0.068966,0.03125,0,0.000218,0.00062,no
0.051724,0,0,0,0,no
0.344828,0.28125,0.333333,0.003591,0.004725,no
0.051724,0.03125,0,0.000109,0.00031,no
0.034483,0.03125,0,0.000544,0.000775,no
0.034483,0.03125,0,0.005332,0.007591,no
0.103448,0.09375,0,0.005658,0.00284,no
0.034483,0.03125,0,0,0,yes
0,0,0,0.000435,0.00062,no
0.068966,0.0625,0,0.000326,0.00062,yes
0.034483,0.03125,0,0,0,yes
0.155172,0.09375,0,0,0,yes
0,0,0,0,0,no
0.086207,0.0625,0,0,0,yes
0,0,0,0,0,no
0.051724,0.03125,0,0.002176,0.001394,no
0,0,0,0.001088,0.002479,no
0,0,0,0.000544,0.002014,no
0.034483,0.03125,0,0.000218,0.00062,no
0.034483,0.03125,0,0.000109,0.00031,no
0.12069,0.0625,0,0,0,no
0.086207,0.0625,0,0.000326,0.000465,no
0.137931,0.0625,0.333333,0.000326,0.000465,no
0,0,0,0.000109,0.00031,no
0.068966,0.0625,0,0,0,no
0,0,0,0,0,no
0.293103,0.21875,0.333333,0.000218,0.00031,no
0.172414,0.09375,0,0,0,yes
0.844828,0.5,0.666667,0.000653,0.000852,yes
0,0,0,0,0,no
0.241379,0.21875,0.666667,0.000326,0.000465,no
0.37931,0.25,0.333333,0.000435,0.00062,yes
0.155172,0.09375,0.333333,0.000218,0.00031,no
0.241379,0.09375,0.333333,0.000218,0.00031,no
0.103448,0.03125,0.333333,0.000218,0.00062,yes
0,0,0,0.000109,0.00031,no
0,0,0,0.000218,0.00062,no
0,0,0,0.000109,0.00031,no
0,0,0,0.000435,0.00062,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000979,0.001394,no
0,0,0,0.001088,0.000852,no
0,0,0,0.001197,0.001007,no
0.034483,0.03125,0.333333,0.000109,0.000155,no
0.327586,0.25,0.333333,0.000435,0.00062,yes
0,0,0,0,0,no
0,0,0,0.000653,0.00093,no
0,0.03125,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.034483,0.03125,0,0,0,no
0.034483,0.03125,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.068966,0.0625,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.034483,0.03125,0,0.000218,0.00062,no
0,0,0,0,0,no
0,0,0,0,0,no
0.068966,0.0625,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.001523,0.015957,no
0,0,0,0.001306,0.003408,no
0,0,0,0.001523,0.003873,no
0,0,0,0.007726,0.011154,no
0,0,0,0.007726,0.011154,no
0,0,0,0.007726,0.011154,no
0,0,0,0.007726,0.011154,no
0,0,0,0.010337,0.005009,no
0,0,0,0,0,no
0.017241,0.5625,0.666667,0.000435,0.00031,yes
0,0,0,0,0,no
0,0,0,0,0,no
0.017241,0.59375,0.666667,0.000435,0.00031,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000653,0.00093,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000109,0.00031,no
0,0,0,0.000109,0.00031,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.000653,0.00093,no
0,0,0,0.00457,0.005267,no
0.051724,0.03125,0,0.006094,0.0055,no
0.034483,0.03125,0,0.004135,0.007901,no
0,0,0,0.001306,0.003641,no
0.034483,0.03125,0,0.005332,0.002685,no
0,0,0,0.005005,0.003641,no
0,0,0,0,0,no
0,0,0,0.000979,0.015027,no
0,0,0,0.000653,0.001084,no
0,0,0.333333,0.004026,0.003098,no
0,0,0,0.005332,0.00395,no
0.034483,0.03125,0.333333,0.025789,0.012652,no
0,0,0.333333,0.021654,0.031294,no
0,0,0.333333,0.021763,0.015724,no
0.017241,0.03125,0,0.025462,0.01229,no
0.017241,0.03125,0,0.028183,0.020294,no
0,0,0,0.028183,0.020294,no
0.034483,0.03125,0,0.028183,0.020294,no
0.068966,0.0625,0,0.006638,0.004725,no
