@relation 'Dataset-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute maxChurn numeric
@attribute CyclomaticComplexity numeric
@attribute stmtAdded numeric
@attribute CodeSmells numeric
@attribute stmtDeleted numeric
@attribute IsBuggy {no,yes}

@data
0.000203,0,0.000068,0.333333,0.00007,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0.048544,0,0.333333,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0.333333,0,no
0,0,0,0.333333,0,no
0.000203,0,0.00034,0.333333,0.000351,no
0,0,0,0,0,no
0,0,0,0.333333,0,no
0,0.009709,0,0,0,no
0,0.009709,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0.029126,0,0.333333,0,no
0,0,0,0,0,no
0,0.019417,0,0,0,no
0,0.019417,0,0,0,no
0,0,0,0,0,no
0.000203,0.029126,0.000068,0.333333,0.00007,no
0.000203,0.019417,0.000068,0,0.00007,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.000305,0.029126,0.00034,0.333333,0.000211,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.000813,0,0.000543,0,0,no
0.000813,0,0.000543,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.001626,0,0.001087,0,0,no
0.001626,0,0.001087,0,0,no
0.001626,0,0.001154,0,0.00007,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.001321,0.048544,0.002105,0.333333,0.000561,no
0.001219,0,0.000815,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.000203,0,0.000068,0,0.00007,no
0,0,0,0,0,no
0.000305,0.009709,0.000136,0,0.00007,yes
0,0,0,0,0,no
0.000102,0,0.000068,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.001219,0.038835,0.001494,0.333333,0.001123,no
0,0.009709,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0.009709,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0.009709,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0.009709,0,0,0,no
0.000203,0.038835,0.000068,0.333333,0.00007,yes
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0.009709,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0.009709,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0.009709,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.000406,0.009709,0.000136,0,0.00014,no
0.001626,0,0.000068,0,0.001053,no
0,0,0,0,0,no
0,0.009709,0,0,0,no
0,0.009709,0,0,0,no
0,0.019417,0,0,0,no
0,0.038835,0,0,0,no
0.000305,0.038835,0.000204,0.333333,0.00014,no
0,0.019417,0,0,0,no
0,0.019417,0,0,0,no
0,0,0,0,0,no
0,0.029126,0,0.333333,0,no
0.000203,0.029126,0.000068,0,0.00007,no
0.000305,0.019417,0.000272,0,0.00007,no
0.000711,0.029126,0.00034,0,0.00014,no
0,0,0,0,0,no
0.000406,0,0.000204,0,0.000211,no
0.000813,0.009709,0.000407,0,0.000421,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.000203,0.15534,0.000204,0.666667,0.000211,no
0,0,0,0,0,no
0.000406,0.038835,0.00034,0.333333,0.000211,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.000203,0.029126,0.000068,0,0.00007,yes
0.000305,0.029126,0.000068,0,0.00014,no
0,0.029126,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.000508,0,0.000407,0,0.00007,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.001829,0,0.000543,0,0.000702,no
0.00254,0.038835,0.00163,0.333333,0.001263,yes
0.002235,0.07767,0.002309,0.333333,0.000421,yes
0.000914,0,0.000611,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0,0,0,0,0,no
0.000508,0.009709,0.000204,0,0.000421,no
0.000508,0.058252,0.000204,0.333333,0.000351,no
0,0,0,0,0,no
0.000406,0,0.000136,0,0.00014,no
0,0,0,0,0,no
0.001524,0.07767,0.001698,0.666667,0.002316,no
0,0.009709,0,0,0,no
